name,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal
runtime,33.32891607284546,2.847217082977295,15.239318132400513,8.822818040847778,6.590098142623901,5.377267122268677,4.522107839584351,3.9164464473724365,3.4432108402252197,3.1579720973968506
l2miss,3729923.8095238097,22321702.79069767,6271924.755244756,9787151.111111112,13947069.27536232,11145061.11111111,13332566.753246754,15421202.461538462,17680200.0,20501605.6
l3miss,924968.7619047619,5564660.465116278,1526149.7902097902,2375795.3535353537,3364956.231884058,2628902.0,3083264.935064935,3701522.4615384615,4210394.285714285,4892551.6
instructions,238666307.42857143,1347575701.860465,410488827.27272725,618574548.6868687,936553865.2173913,726785786.888889,856574285.1948053,980731538.4615384,1114539466.4285715,1260751380.8
cycles,449999152.57142854,2061507019.5348837,713186299.4405594,926701957.1717172,1324337362.3188405,1047096365.1111112,1239632525.7142856,1440813311.076923,1643327280.0,1862994598.0
stall_cycles,306125516.95238096,1243873771.627907,463562002.2377622,554217208.6868687,766018021.4492753,614605311.1111112,726138333.5064936,848030955.6923077,969850233.5714285,1101155004.8
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,0.0,0.4195804195804196,0.0,0.0,0.0,0.7792207792207793,0.0,0.0,0.8
wall_cycles,2103689310.6666665,2214661889.7674417,2126021120.9790208,2139215983.2323232,2149021779.710145,2138284094.4444444,2150239622.5974026,2158746557.846154,2168211281.785714,2168012136.0
llc_size,35913103.84761905,34578622.511627905,37420597.70629371,34916786.42424242,36371530.20289855,35382158.222222224,36278006.02597403,36280729.6,35249005.71428572,35883581.44
local_mem,51916995.047619045,299423315.34883726,75517636.92307693,116429006.86868685,160021815.6521739,128712704.0,158665209.35064936,183742779.0769231,209996068.5714286,220672819.20000002
remote_mem,362008.38095238095,2011802.7906976745,614113.5664335664,1813824.6464646466,1329715.9420289856,2621440.0,2621440.0,3004573.538461538,3300205.714285714,2464153.5999999996
