category,bfs,freqmine,CG,SP
runtime,39.01845645904541,85.18788051605225,139.3827669620514,152.33695912361145
l2miss,9566158676.470589,424118892.09878796,3623117471.855314,3640140149.4894238
l3miss,3549484323.529412,71729954.25134422,686732369.8435278,2058591480.6345735
instructions,4666136221029.411,219593929557.27698,36698774134.4239,144511952111.7068
cycles,2185263584058.8235,121210589247.6989,96914835539.6261,90056779010.32094
stall_cycles,540051707823.52936,29600614824.478264,74363492287.44157,34159633285.01094
intra_coh,1782893029.4117649,111396892.91898297,1673891.1298516563,353364.5878920496
inter_coh,2764.705882352941,8.019684680579603,32.869335500914445,24.87235594456601
wall_cycles,16929413852.941177,14952847779.367538,12411490608.71774,11178135646.790665
llc_size,2710106352.9411764,29416311099.60813,6721818167.039219,35788984932.45806
local_mem,664997647.0588235,3590367034.721589,38029587924.40561,160421704860.1021
remote_mem,84811294.11764707,391579541.05531764,1879402280.8372283,4956737204.376368
