category,bodytrack,canneal,CG,SP
runtime,28.824181079864502,59.695120096206665,143.16212821006775,157.80808210372925
l2miss,616698215.2432019,1093504304.6338673,3204746242.610727,3283914123.0204268
l3miss,22637240.520873226,610446440.5034325,608107695.0408769,1913077340.3062394
instructions,266723944558.78973,34755913090.9611,32468365858.772797,129827463062.03482
cycles,119015536554.1938,125292204133.2952,88767712634.98338,83492025004.3608
stall_cycles,12575243244.733818,100766156192.50572,68794885256.80531,33110494354.76573
intra_coh,66957875.143623136,3258504.5766590387,1518075.8691941425,399091.93744057184
inter_coh,11.489850631941785,11.155606407322654,19.270505794627617,106.88875045083446
wall_cycles,17135835667.177326,14081804570.366133,11405701377.998384,10351780220.597397
llc_size,9997590844.887016,37977924540.04577,8644355012.847004,34079289429.81737
local_mem,1339133156.6449637,37863255286.04119,34120864163.866676,142068381684.3831
remote_mem,258002506.31941786,857348100.6864988,1514608142.3052735,4198923902.291878
