category,MG,swaptions,freqmine,streamcluster
runtime,18.210188627243042,58.3989737033844,84.71270847320557,124.11450147628784
l2miss,7377560840.909091,81012812.6860545,419964236.83327746,798449733.8043245
l3miss,5510124828.125,505968.628348981,64544522.643408254,637192237.5936631
instructions,488290292900.5682,321124754967.7124,204256134882.92517,46688977978.420044
cycles,232367159335.2273,188006546409.43442,111579574409.42636,72574232386.29843
stall_cycles,48817476840.909096,40837951499.42753,26822551475.595436,47577005108.71333
intra_coh,40768919.034090914,60644252.80512938,106248365.14592418,54508842.86020124
inter_coh,248.57954545454544,65.2621937256698,17.108352901710834,10.14771997430957
wall_cycles,43920747816.76137,15347539439.432104,12813130424.270378,10250696233.354742
llc_size,33441978181.818184,882357374.8568811,41063283504.86414,38498360647.74139
local_mem,670712366545.4545,174922742.38607737,1950322560.214693,37705045333.333336
remote_mem,72499665454.54546,21640236.31783833,265309777.92687017,2672555554.5279384
