category,swaptions,freqmine,streamcluster,MG
runtime,61.83155560493469,108.97410202026367,113.1529803276062,120.496506690979
l2miss,7313280.016652789,47573996.80278884,168932855.48154816,72613280.0358423
l3miss,15004.496253122397,15163433.645418325,135029864.95949593,59529750.4032258
instructions,25368428491.557037,24542539201.155376,9854138125.031504,4801153725.331541
cycles,15302097504.196503,13847512014.45219,15009321865.58956,2607043109.7222223
stall_cycles,3481202006.577852,3654823532.0019917,9725698514.10441,672040105.9229391
intra_coh,5706945.179017485,11811440.44820717,11612284.590459047,276568.32437275985
inter_coh,0.28309741881765194,0.2589641434262948,1.4491449144914492,1.200716845878136
wall_cycles,2125184304.3796837,2259165285.2788844,2117961206.2646265,2233842472.2401433
llc_size,35297765.99500416,476190189.64143425,742914562.3042305,109515001.57706094
local_mem,2482837.635303913,1002160976.5737052,8783479801.548155,4973155316.989247
remote_mem,253194.8709408826,10063431.394422311,33465241.692169216,37583369.17562724
