category,nn,freqmine,SP,streamcluster
runtime,77.39299154281616,85.26437854766846,156.879145860672,177.79416704177856
l2miss,4128468070.4467354,1398083738.6962552,5489254833.333333,757055317.9965291
l3miss,656878.0068728522,229458361.16504854,3181365584.7514176,624968612.9878516
instructions,341408553584.7652,673680396454.3689,217609976585.19632,46069895782.66134
cycles,604092116534.3643,368744021260.47156,139562851394.00513,95726714870.84798
stall_cycles,385942171865.9794,88910808428.29404,55249738911.96752,70924070954.6757
intra_coh,2826034549.2554407,341428763.38418865,579090.8686464241,52749909.51285466
inter_coh,345.93356242840775,262.13592233009706,169.8365031698365,65.0199782055939
wall_cycles,55924808028.63689,41279644890.98474,16659880954.28762,13208417160.148525
llc_size,11593153246.277206,28340693250.485435,34942164635.74686,16671766441.457804
local_mem,3946498345.9335628,6086412853.259362,243232578028.69537,36960325514.79195
remote_mem,527478469.64490265,1105295090.152566,19278841963.74152,3462997147.354401
