category,bfs,canneal,CG,SP
runtime,38.9740948677063,69.44649124145508,115.31508660316467,157.47963190078735
l2miss,7728171.35501355,61277556.80751174,643939623.8230088,667611197.1756225
l3miss,3533322.926829268,34161424.92957747,121616709.04424779,350195689.017038
instructions,5490319741.761518,2011440164.4913926,6670241760.867257,26437458246.061596
cycles,2395458602.3577237,7883099843.489828,16171518059.840708,17907834151.926605
stall_cycles,491227750.8943089,6474896490.563381,12168763049.761063,7505361340.013105
intra_coh,632451.6531165312,178704.69483568074,288518.7522123894,48288.440366972485
inter_coh,1.0840108401084012,0.7355242566510173,1.911504424778761,5.530799475753604
wall_cycles,2122800476.99187,2258504495.9311423,2116558142.9557524,2145601534.4626474
llc_size,145580498.2113821,616963493.458529,196309898.1946903,701571898.7155963
local_mem,343337598.2655826,2502064996.5571203,7826016237.876106,28193467809.38401
remote_mem,5466661.463414635,5871574.334898279,36026241.132743366,176263495.46526867
