category,swaptions,canneal,streamcluster,MG
runtime,61.55332803726196,66.5567991733551,118.24691843986511,125.84654307365417
l2miss,5736629.399999999,70225476.94078948,161801205.50064462,71104388.40120018
l3miss,16695.2,49310916.5625,129034755.36742586,57924726.4894985
instructions,25482658574.88333,2108415900.5592105,9403344721.91663,4658927646.129447
cycles,16231840491.283333,9982348595.427631,15171448634.310272,2579219264.997857
stall_cycles,3950530180.8666663,8426525666.217106,10114077944.692738,694021362.966138
intra_coh,4499049.783333333,1682464.4078947369,1.585452864207257e+17,253251.99314187744
inter_coh,0.05,0.14802631578947367,0.3094112591319295,0.15430775825117873
wall_cycles,2122082878.2666664,2269823077.8125,2116616824.2715943,2236219362.726104
llc_size,33853713.06666666,370305347.368421,742623986.2483884,117128253.88769823
local_mem,137625.6,3941185212.631579,8187177316.441771,4845135189.91856
remote_mem,29491.199999999997,10248623.157894738,25064774.07821229,31163449.498499785
