category,bodytrack,freqmine,streamcluster,MG
runtime,28.63035273551941,87.88810157775879,126.2403781414032,380.45468950271606
l2miss,58151183.290676415,62966055.18449031,152370887.9367653,447997187.1604938
l3miss,2199478.3546617916,11166584.865540963,118491420.80259424,322206882.0274348
instructions,28248142936.380257,30836263002.451534,8855709977.60843,28696176211.82716
cycles,12477132432.285192,17268588181.688553,15102592053.506283,14982706249.311386
stall_cycles,1231146953.0895796,4418486328.7054405,10328337150.101337,3673964939.851852
intra_coh,6927037.513711153,16440368.017510943,10813571.47142278,392975.6735253772
inter_coh,0.7312614259597806,0.2626641651031895,6.931495743818403,1.0260631001371743
wall_cycles,2145418126.8372943,2265958810.956848,2117043346.347791,2174146950.085048
llc_size,366773961.2431444,553523039.8999374,584845707.9854074,621883779.6872427
local_mem,122757194.88117002,656824825.9161975,6230823909.85002,29001742271.38546
remote_mem,2396197.4405850093,5665851.557223265,16504871.017430078,57389938.128943756
