category,nn,streamcluster,freqmine,MG
runtime,79.42397737503052,112.9134271144867,135.8352382183075,392.83084630966187
l2miss,104430681.94426441,169009093.27027026,35507075.221507005,434098501.0891745
l3miss,11134.05055087492,135107437.2792793,7889340.673987126,310622404.7197562
instructions,9157303850.265717,9853733232.35135,18675028498.11435,27718612290.68504
cycles,16266922890.88788,14959879050.54054,10418690140.045437,14375969034.538227
stall_cycles,10347337953.985743,9679886954.603603,2643056863.415373,3435336664.982112
intra_coh,76812667.81594297,11537727.621621622,8777701.92351382,260197.49304359348
inter_coh,0.1555411535968892,9.0,0.21961378265808407,0.3100569762819664
wall_cycles,2118722848.2177577,2116888474.5945945,2110460511.3214693,2173389020.2279053
llc_size,498117772.0285159,748094620.8288288,396582381.58273387,632352148.7425468
local_mem,138839481.3220998,8763438495.135136,482801553.10867095,28032880110.836098
remote_mem,1352343.6422553468,25962883.45945946,5029968.648239303,43787461.147475824
