category,bodytrack,canneal,streamcluster,SP
runtime,28.322925806045532,64.51202130317688,120.6986289024353,239.39732122421265
l2miss,54926708.57670979,71072297.83783785,158996165.6196944,451831649.11928654
l3miss,2083841.293900185,39804966.5945946,126894624.72835314,238212731.335563
instructions,28554207247.28281,2303283578.18018,9263712963.047539,17856022810.706802
cycles,12619955454.861366,9232964077.693693,15281187427.215618,11610210203.906355
stall_cycles,1258058336.5249538,7617961841.477478,10291189146.052631,4647920547.139353
intra_coh,6971787.319778189,202468.90090090092,11199939.796264857,16650.898550724636
inter_coh,0.14787430683918668,0.4144144144144144,6.689303904923599,0.2229654403567447
wall_cycles,2145723304.2144177,2295101917.9459457,2119209358.8624787,2216811100.115942
llc_size,476854957.19038814,591390959.8558558,749508194.2275043,473811106.1047938
local_mem,120530516.22920516,3018660190.5585585,8482577055.076401,19097423319.4738
remote_mem,2325861.7375231055,8034359.351351351,25728165.16129032,121085979.39799331
