category,bfs,CG,freqmine,SP
runtime,38.8902645111084,104.11704611778259,133.1228597164154,178.30815243721008
l2miss,7596457.826086957,711811860.0688976,63573600.10928962,620949188.0247277
l3miss,3290837.3097826084,135195995.5413386,39582814.3637783,300417272.1754489
instructions,5497711909.592391,7401938356.043306,19242393640.01561,23622504256.8325
cycles,2394572117.907609,16064275520.994093,16186344059.36768,18465549968.660583
stall_cycles,493296909.45652175,11651531061.545277,7849198501.545668,9074975254.147778
intra_coh,598021.0869565217,329321.6043307086,10071144.652615145,45118.339711510154
inter_coh,0.8152173913043479,13.346456692913387,1192.4980483996878,604.9690903738592
wall_cycles,2125713793.396739,2119495741.7322836,2168300503.372365,2183327812.8054166
llc_size,152643673.04347825,780831768.1889763,231989254.3950039,699826089.1845746
local_mem,341264473.04347825,8757779512.440945,96566605.33957845,2531870403.4854283
remote_mem,3091589.5652173916,29417665.51181102,4021702333.0523024,20938733093.529583
