category,canneal,nn,CG,SP
runtime,73.32808041572571,78.54413533210754,107.7874743938446,176.436292886734
l2miss,61123492.09169054,107078770.69281045,686195998.1223328,579488641.5061296
l3miss,45151133.48137536,12143.333333333332,130187097.15504977,333593711.7046118
instructions,1836891539.5415473,9165422054.718954,7099506334.480797,23478763422.05487
cycles,9578134831.962751,16259549082.549019,15867319842.645805,14128257618.762405
stall_cycles,8207543759.727794,10365831150.222223,11589142746.780464,5059004567.904262
intra_coh,2173013.6103151864,77176070.36601306,317415.960170697,38264.40163455925
inter_coh,4.541547277936963,0.39215686274509803,1.2991939307728781,1.039112667834209
wall_cycles,2116111347.5644698,2117954301.9607842,2117547304.694168,2142671251.803853
llc_size,93978436.21776505,487334262.7973856,284823371.37980086,667868844.4600116
local_mem,3522320577.6504297,139709901.80392158,8438991480.170697,24093949626.80677
remote_mem,16124860.515759312,1081129.8300653594,24717854.83167378,133336110.02918856
