category,bfs,MG,streamcluster,canneal
runtime,38.85294795036316,50.986053228378296,123.74817681312561,156.84028244018555
l2miss,7615893.143631436,189506778.3838384,154078969.10956094,26777698.014136657
l3miss,3116396.2601626017,121939007.18294053,123020757.94009028,16963096.196566813
instructions,5504751623.577236,12085496574.523008,8975285573.434551,864300659.1114103
cycles,2402832459.7560973,7082101179.685746,15276122278.50636,4430446456.230226
stall_cycles,499653099.18699193,2269839844.2424245,10438569840.467789,3817986861.534837
intra_coh,583048.5365853659,199207.3400673401,10873289.208042676,91410.1783911141
inter_coh,0.21680216802168023,309.7194163860831,2.0927369716865,123.21777179400875
wall_cycles,2124031873.2249322,2338088664.691358,2117068763.8079607,2203437011.9286437
llc_size,139962873.0623306,594396073.8047137,764765050.8001642,240103521.88488725
local_mem,318483647.47967476,2948275607.991021,7939417748.116536,30930521.440592393
remote_mem,3413555.3387533873,9032617253.063972,25108597.65285187,1312899827.5058904
