category,bodytrack,MG,streamcluster,freqmine
runtime,28.38771963119507,41.23209047317505,125.74811744689941,183.29166102409363
l2miss,62885009.28176795,258446928.1305638,152946008.75407165,28393990.10850942
l3miss,2103011.7863720073,164745856.11275965,122019115.26872964,7904606.704740148
instructions,28463912979.926334,15831362139.525223,8906894183.395765,14075579038.03541
cycles,12588689972.007368,9841085218.872404,15300668120.016287,8053513393.500856
stall_cycles,1240061811.2707183,3391678664.777448,10500674008.770359,2174803756.5105653
intra_coh,7007710.976058932,737192.2848664689,10756368.330618892,6958210.519703027
inter_coh,1.43646408839779,481.513353115727,1.3843648208469057,1309.468874928612
wall_cycles,2147212664.4567218,2423215512.8783383,2120431589.1938112,2177624401.250714
llc_size,483158427.10865563,389445249.1394658,757575880.1302933,302828344.5802399
local_mem,110221172.44935544,2826441275.2522254,7789473938.762216,138782866.2021702
remote_mem,2778340.1841620626,13560082930.326408,24733969.51140065,341763315.8652199
