category,bfs,streamcluster,canneal,MG
runtime,39.13255429267883,137.63605427742004,166.79676055908203,382.6540174484253
l2miss,7727091.994572591,138280354.58302584,26543013.31108144,470963211.8550221
l3miss,5570423.989145183,110158142.21402214,17150388.98531375,279466337.30105656
instructions,5499308276.309362,8054312322.553506,856474433.2042724,27993497984.253044
cycles,2420465826.7842607,15278799135.542435,4068169627.810414,17167897201.645046
stall_cycles,520407667.2998643,10917943211.653137,3460917148.0574102,5660194445.1411
intra_coh,803810.3392130258,9720895.911439115,98813.95193591455,1022730.6994784005
inter_coh,0.7598371777476255,28.656826568265682,135.70761014686246,2.7203423833088136
wall_cycles,2128591648.303935,2118684572.900369,2263645628.744993,2137563947.4976597
llc_size,137906595.6037992,759693795.6605166,213656109.79973298,801331469.7980474
local_mem,572544548.8195386,6895968286.228782,18154959.465954605,240847473.32887524
remote_mem,4940542.957937585,20550735.350553505,1269780999.519359,27971908458.857834
