category,nn,canneal,streamcluster,SP
runtime,79.06777954101562,88.85775780677795,121.71830034255981,233.73473691940308
l2miss,102424411.15459882,52065644.043583535,156673809.64882943,464251389.4330246
l3miss,11427.54076973255,39394844.84261501,125347346.6722408,249461817.59656653
instructions,8835679956.086105,1548751505.5569007,9127094462.224081,18102227151.19946
cycles,16271718442.857143,8246899929.782082,15147775194.93311,12743075842.538965
stall_cycles,10659909402.896282,7092570447.142858,10232215010.192307,5612375995.1615095
intra_coh,74838913.47684279,2342487.590799032,10926003.720735786,41878.33295685566
inter_coh,0.46966731898238745,169.7215496368039,2.5585284280936453,201.355319629546
wall_cycles,2121399122.3874757,2168894319.9757867,2118484244.1471572,2198810313.5622315
llc_size,644640824.109589,158175023.72881356,722423164.1471572,456341956.90083575
local_mem,138860224.7097195,2837978560.7748184,8711550886.956522,17409280890.53535
remote_mem,1144849.3672537508,110241707.69975787,35198749.96655518,2414466446.0808673
